,number_subjects,hours_per_week_schedule,rate,bio_count,num_popular_subjects,number_degrees,desc_count,welcoming_kw,passion_kw,experience_kw,hours_per_week_estimate,Label
0,7,52,35,315,0,1,10,1,0,1,0.5630026809651474,Low
1,8,85,45,246,2,1,10,1,1,0,1.2648870636550311,Low
2,24,45,59,310,7,3,7,0,0,0,21.8,High
3,21,47,39,282,0,3,10,0,0,1,0.9588377723970944,Low
4,10,50,60,101,5,1,4,0,0,0,0.75177304964539,Low
5,22,168,120,341,2,1,6,0,1,0,5.601434426229509,High
7,31,66,45,187,7,3,4,1,1,0,10.784883720930235,High
8,7,101,20,240,1,3,10,1,1,0,0.6173044925124792,Low
10,16,52,40,171,7,3,9,1,0,0,1.904,Low
11,18,34,25,138,7,2,4,1,0,0,1.2908163265306123,Low
12,7,81,20,319,5,1,2,1,0,0,5.4444444444444455,High
13,14,19,45,199,7,3,5,0,0,1,7.040560115886046,High
14,36,39,60,109,20,3,5,0,1,0,0.927710843373494,Low
15,17,18,75,177,4,2,3,0,0,1,3.081052066559313,High
16,1,40,250,347,0,1,6,1,0,0,14.515673981191222,High
17,14,5,70,298,2,3,10,0,0,0,2.9889570552147235,High
19,10,96,30,259,4,2,4,0,0,0,1.4677419354838708,Low
21,13,99,27,116,7,1,10,0,0,0,7.497822931785198,High
22,13,60,89,287,7,3,7,1,1,0,24.45205479452055,High
24,9,78,25,347,6,1,11,0,0,0,13.01010101010101,High
26,10,46,49,256,5,1,10,1,1,0,3.4883849557522124,High
27,21,126,85,109,8,1,7,0,1,0,1.3168316831683171,Low
28,1,18,69,197,0,3,8,0,0,1,8.534126487163434,High
31,14,25,40,49,11,2,7,0,0,0,3.1242811501597445,High
33,15,76,30,360,8,2,8,0,0,0,0.65311004784689,Low
34,19,13,35,319,10,2,8,1,0,0,0.6107187370170336,Low
38,8,52,65,208,2,2,13,0,0,0,1.9493670886075949,Low
42,3,35,25,206,2,1,3,0,0,0,2.6808510638297878,High
