,hours_per_week_schedule,bio_count,rate,number_subjects,welcoming_kw,desc_count,num_popular_subjects,experience_kw,postgrad_degree
0,52,315,35,7,1,10,0,1,0
1,85,246,45,8,1,10,2,0,0
2,45,310,59,24,0,7,7,0,1
3,47,282,39,21,0,10,0,1,1
4,50,101,60,10,0,4,5,0,0
5,168,341,120,22,0,6,2,0,1
6,68,89,50,6,0,9,1,1,1
7,66,187,45,31,1,4,8,0,1
8,101,240,20,7,1,10,1,0,1
9,20,200,20,7,0,11,0,0,0
10,52,171,40,16,1,9,7,0,1
11,34,138,25,18,1,4,7,0,1
12,81,319,20,7,1,2,5,0,0
13,19,199,45,14,0,5,7,1,1
14,39,109,60,36,0,5,21,0,1
15,18,177,75,17,0,3,4,1,1
16,40,347,250,1,1,6,0,0,0
17,5,298,70,14,0,10,2,0,1
18,14,97,50,15,0,7,9,1,0
19,96,259,30,10,0,4,4,0,1
20,67,201,40,9,0,6,6,0,0
21,99,116,27,13,0,10,7,0,0
22,60,287,89,13,1,7,7,0,1
23,17,279,60,8,1,7,4,0,1
24,78,347,25,9,0,11,6,0,0
25,39,126,50,17,0,5,8,0,1
26,46,256,49,10,1,10,5,0,0
27,126,109,85,21,0,7,8,0,0
28,18,197,69,1,0,8,0,1,1
29,106,255,35,13,1,10,7,0,1
30,84,206,32,10,0,10,9,1,0
31,25,49,40,14,0,7,11,0,1
32,25,136,42,10,1,4,7,0,1
33,76,360,30,15,0,8,9,0,1
34,13,319,35,19,1,8,10,0,1
35,44,356,36,6,1,9,4,1,1
36,30,146,60,13,0,10,3,0,1
37,45,239,80,8,1,3,1,1,0
38,52,208,65,8,0,13,2,0,0
39,77,67,18,15,0,3,3,0,1
40,27,220,35,11,1,4,6,0,1
41,24,212,40,6,1,11,5,1,0
42,35,206,25,3,0,3,2,0,0
43,112,141,40,15,1,11,3,0,0
44,49,295,70,7,1,4,5,1,1
45,28,100,40,9,0,4,9,0,0
46,54,142,40,15,1,9,5,1,1
47,34,138,25,18,1,4,7,0,1
48,20,116,40,7,1,3,5,0,0
49,36,164,22,8,1,8,3,1,0
50,112,353,360,9,0,10,0,0,1
51,128,220,50,16,1,8,7,1,1
52,36,152,40,5,0,8,1,1,1
53,50,238,50,26,1,10,15,0,0
54,105,315,60,8,0,9,2,0,0
55,68,72,45,15,1,4,12,0,0
56,92,200,35,31,1,8,21,0,0
57,69,245,45,7,0,5,4,1,1
58,21,66,35,5,0,5,0,0,1
59,105,243,48,11,0,8,8,0,0
60,0,254,70,18,1,7,6,1,0
61,98,292,55,4,0,5,1,0,0
62,10,303,60,19,0,7,4,0,1
63,49,227,50,41,1,12,1,1,1
64,51,152,50,12,1,13,0,0,1
65,105,203,50,10,0,12,4,0,0
66,84,352,50,16,1,6,13,0,1
67,69,257,35,36,0,8,17,0,0
68,112,69,60,12,0,9,10,1,1
69,121,322,75,4,0,8,0,0,1
70,70,178,32,10,1,7,7,0,0
71,51,82,80,20,0,5,14,0,1
72,28,160,40,15,0,4,12,0,1
73,100,202,48,29,0,8,14,0,1
74,50,110,50,6,1,4,1,1,0
75,45,82,70,7,0,6,2,0,1
76,56,130,55,46,0,9,5,0,1
77,52,203,40,6,1,11,0,0,1
78,77,326,75,15,0,9,7,0,0
79,77,286,30,13,0,6,3,0,0
80,63,287,25,9,0,7,3,0,1
81,83,216,40,14,0,8,0,0,0
82,52,321,140,8,0,8,1,0,1
83,126,253,107,17,1,10,4,0,1
84,69,365,40,37,0,6,11,0,1
85,52,137,35,11,0,7,4,0,0
86,23,199,40,3,1,8,1,0,0
87,35,368,25,12,1,4,0,0,0
88,168,156,60,43,0,6,22,0,1
89,24,148,80,10,0,8,7,1,0
90,78,256,52,18,0,8,14,0,1
91,77,59,40,8,0,3,8,0,0
92,112,210,40,11,0,5,9,0,0
93,83,350,45,15,0,6,6,0,0
94,62,320,25,24,0,5,6,0,1
95,51,81,35,22,0,7,7,0,1
96,40,263,20,29,0,8,18,1,0
97,63,339,50,12,1,7,2,0,0
98,71,306,30,6,0,5,6,0,0
99,60,267,75,33,0,4,3,0,1
100,30,204,40,7,1,10,7,0,1
101,36,273,55,23,1,9,17,0,1
102,105,236,32,24,1,4,17,1,0
103,48,231,50,10,0,6,2,0,0
104,69,331,16,7,1,8,7,0,0
105,44,356,36,6,1,9,4,1,1
106,18,340,60,4,0,9,2,1,1
107,93,180,70,10,1,4,7,0,0
108,76,245,50,16,1,5,11,0,0
109,38,325,22,5,1,7,0,1,0
110,48,182,30,17,1,7,17,0,0
111,70,148,40,12,0,7,0,0,1
